brand,variante,modelo,seg,concept,cn_raw
KIA,F5P61,SPORTAGE,UKL2,SAV,SPORTAGE
KIA,F5P64,SPORTAGE,UKL2,SAV,SPORTAGE
KIA,F5P71,PICANTO,UKL0,HATCH,PICANTO
KIA,F5P81,PICANTO,UKL0,HATCH,PICANTO
KIA,F5PA1,PICANTO,UKL0,HATCH,PICANTO
KIA,F5PB1,PICANTO,UKL0,HATCH,PICANTO
KIA,F6E34,EV9,MKL,SAV,EV9
KIA,F7D12,SORENTO,KKL,SAV,SORENTO
KIA,F7D14,SORENTO,KKL,SAV,SORENTO
KIA,F7E12,EV9,MKL,SAV,EV9
KIA,F7E34,EV9,MKL,SAV,EV9
KIA,F7H12,SORENTO,KKL,SAV,SORENTO
KIA,F7H14,SORENTO,KKL,SAV,SORENTO
KIA,F7H24,SORENTO,KKL,SAV,SORENTO
LANCIA,H,YPSILON,UKL1,HATCH,YPSILON
LANCIA,P,YPSILON,UKL1,HATCH,YPSILON
LAND ROVER,CNGDH0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,CNGEH0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,CODDC0,DISCOVERY,MKL,SAV,DISCOVERY SPORT
LAND ROVER,CODEC0,DISCOVERY,MKL,SAV,DISCOVERY SPORT
LAND ROVER,CODFC0,DISCOVERY,MKL,SAV,DISCOVERY SPORT
LAND ROVER,HMCDC0,RANGE ROVER VELAR,KKL,SAV,RANGE ROVER VELAR
LAND ROVER,HMCEC0,RANGE ROVER VELAR,KKL,SAV,RANGE ROVER VELAR
LAND ROVER,HMCFC0,RANGE ROVER VELAR,KKL,SAV,RANGE ROVER VELAR
LAND ROVER,HODDC0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,HODEC0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,HODFC0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,HRDDC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HTADC0,RANGE ROVER VELAR,KKL,SAV,RANGE ROVER VELAR
LAND ROVER,HTAEC0,RANGE ROVER VELAR,KKL,SAV,RANGE ROVER VELAR
LAND ROVER,HTEDD0,DISCOVERY,MKL,SAV,DISCOVERY SPORT
LAND ROVER,HTEED0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,HTEFD0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,HTFDD0,RANGE ROVER EVOQUE,UKL2,CABRIO,RANGE ROVER EVOQUE
LAND ROVER,HTFED0,DISCOVERY,MKL,SAV,DISCOVERY SPORT
LAND ROVER,HUAEA0,DISCOVERY,MKL,SAV,DISCOVERY
LAND ROVER,HUAEC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HUAFC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HUBDC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HUBEC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HUBFC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HUCDC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HUCEC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HUCFC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HUDEA0,DISCOVERY,MKL,SAV,DISCOVERY
LAND ROVER,HXEDC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HXEEC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HXEFC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HXFEC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HYDDC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HYDEC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,HYEDC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HYEEC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,HYEFC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,IUCDC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,IUCEC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,IXEDC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,IXEEC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,IXFEC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,IXGDC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,IXGEC0,RANGE ROVER SPORT,MKL,SAV,RANGE ROVER SPORT
LAND ROVER,IYDEC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,IYDFC0,RANGE ROVER,GKL,SAV,RANGE ROVER
LAND ROVER,NHFEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,NHHEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,NHHFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,NPDDC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,NUEDC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,NUEEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,NUEFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OHHEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OHHFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OIKEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OIKFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OMCDC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OMJEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OMJFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OPDDC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OUAFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OUCEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OUEDC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OUEEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OUEFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,OUIFC0,DEFENDER,MKL,PICK-UP,DEFENDER
LAND ROVER,PUEEC0,DEFENDER,MKL,PICK-UP,DEFENDER
LEAPMOTOR,0000,C10,MKL,SAV,C10
LEAPMOTOR,0010,T03,UKL0,HATCH,T03
LEAPMOTOR,0100,C10,MKL,SAV,C10
LEAPMOTOR,AB2EE,B10,UKL2,SAV,B10
LEXUS,AALH15(W),RX350H,,,LEXUS RX350H
LEXUS,AALH16(W),RX450H+,,,LEXUS RX450H+
LEXUS,AAWH15(F),LM350H,,,LEXUS LM350H
LEXUS,AAWH15(N),LM350H,,,LEXUS LM350H
LEXUS,AAZH20(W),NX350H,,,LEXUS NX350H
LEXUS,AAZH25(W),NX350H,,,LEXUS NX350H
LEXUS,AAZH25(WA),NX350H,,,LEXUS NX350H
LEXUS,AAZH26(W),NX450H+,,,LEXUS NX450H+
LEXUS,AXZH10(E),ES300H,,,LEXUS ES300H
LEXUS,GVF55(E),LS500H,,,LEXUS LS500H
LEXUS,KMA10(W),UX300E,,,LEXUS UX300E
LEXUS,MAYH10(W),LBX,UKL1,SAV,LEXUS LBX
LEXUS,MAYH15(W),LBX,UKL1,SAV,LEXUS LBX
LEXUS,MZAH11(W),UX300H,,,LEXUS UX300H
LEXUS,MZAH16(W),UX300H,,,LEXUS UX300H
LEXUS,TALH17(W),RX500H,,,LEXUS RX500H
LEXUS,XEBM10(W),RZ300E,,,LEXUS RZ300E
LEXUS,XEBM15(W),RZ450E,,,LEXUS RZ450E
LIVAN,5DPL4,X3 PRO,,,X3 PRO
LYNK&CO,2PNLZ1,LYNK CO,,,LYNK  CO 08
LYNK&CO,A01,LYNK CO,,,LYNK  CO 01
LYNK&CO,A02,LYNK CO,,,LYNK  CO 02
LYNK&CO,GFF,LYNK CO,,,LYNK  CO 01
MASERATI,0AEA0000C0,GRECALE,KKL,SAV,GRECALE FOLGORE
MASERATI,0AGT420AC8,GRECALE,KKL,SAV,GRECALE GT
MASERATI,0AGT630BC8,GRECALE,KKL,SAV,GRECALE TROFEO
MASERATI,1AGT630CC8,GRANTURISMO,GKL,CABRIO,GRANTURISMO TROFEO
MASERATI,2AGT630CC8,GRANCABRIO,GKL,CABRIO,GRANCABRIO TROFEO
MASERATI,6E4,QUATTROPORTE,MKL,SEDAN,QUATTROPORTE S Q4
MASERATI,6F2,QUATTROPORTE,MKL,SEDAN,QUATTROPORTE GT
MASERATI,7E4,GHIBLI,MKL,SEDAN,GHIBLI MODENA S Q4
MASERATI,7L2,GHIBLI,MKL,SEDAN,GHIBLI GT HYBRID
MASERATI,CAE,MC20,GKL++1,COUPE,MC20
MASERATI,RAE,MC20,GKL++1,COUPE,MC20 CIELO
MAXUS,800,EUNIQ 5,MKL,MPV,MAXUS EUNIQ 5
MAZDA,2FC,CX-60,KKL,SAV,MAZDA CX-60
MAZDA,4AC,CX-80,KKL,SAV,MAZDA CX-80
MAZDA,4BC,CX-60,KKL,SAV,MAZDA CX-60
MAZDA,4CC,CX-80,KKL,SAV,MAZDA CX-80
MAZDA,4EC,CX-60,KKL,SAV,MAZDA CX-60
MAZDA,6E7,MX-5,UKL2,ROADSTER,MAZDA MX-5
MAZDA,6EA,MX-5,UKL2,ROADSTER,MAZDA MX-5
MAZDA,6HE,MAZDA3,,,MAZDA3
MAZDA,6HG,MAZDA3,,,MAZDA3
MAZDA,6HH,MAZDA3,,,MAZDA3
MAZDA,6HP,MAZDA3,,,MAZDA3
MAZDA,6HZ,MAZDA2,,,MAZDA2
MAZDA,6SG,MAZDA3,,,MAZDA3
MAZDA,6SH,MAZDA3,,,MAZDA3
MAZDA,6SP,MAZDA3,,,MAZDA3
MAZDA,6W1,CX-5,UKL2,SAV,MAZDA CX-5
MAZDA,6W2,CX-5,UKL2,SAV,MAZDA CX-5
MAZDA,6WE,CX-30,UKL2,SAV,MAZDA CX-30
MAZDA,6WG,CX-30,UKL2,SAV,MAZDA CX-30
MAZDA,6WH,CX-30,UKL2,SAV,MAZDA CX-30
MAZDA,6WJ,MX-30,UKL2,SAV,MAZDA MX-30
MAZDA,6WN,CX-5,UKL2,SAV,MAZDA CX-5
MAZDA,6WP,CX-30,UKL2,SAV,MAZDA CX-30
MAZDA,AARA,6E,KKL,SEDAN,MAZDA 6E
MAZDA,FHH,MAZDA3,,,MAZDA3
MAZDA,FWH,CX-30,UKL2,SAV,MAZDA CX-30
MAZDA,GW2,CX-5,UKL2,SAV,MAZDA CX-5
MAZDA,MXPH11(H),MAZDA2,,,MAZDA2 HYBRID
MERCEDES-AMG,9317T0,AMG GT,,,AMG GT 43
MERCEDES-AMG,9317TA,AMG GT,,,AMG GT 43
MERCEDES-AMG,938UTB,AMG GT,,,AMG GT 55 4MATIC+
MERCEDES-AMG,938VTB,AMG GT,,,AMG GT 63 4MATIC+
MERCEDES-AMG,938WTB,AMG GT,,,AMG GT 63 S E PERFORMANCE
MERCEDES-AMG,QX6AT1,AMG GT,,,AMG GT 53 4MATIC+
MERCEDES-AMG,QX8HTB,AMG GT,,,AMG GT 63 S 4MATIC+
MERCEDES-AMG,QX8XTB,AMG GT,,,AMG GT 63 S E PERFORMANCE
MERCEDES-AMG,S18VTB,AMG PURESPEED,,,AMG PURESPEED
MERCEDES-AMG,S417T0,AMG SL,,,AMG SL 43
MERCEDES-AMG,S417TA,AMG SL,,,AMG SL 43
MERCEDES-AMG,S44UT0,AMG SL,,,AMG SL 43
MERCEDES-AMG,S44UTA,AMG SL,,,AMG SL 43
MERCEDES-AMG,S48UTB,AMG SL,,,AMG SL 55 4MATIC+
MERCEDES-AMG,S48VTB,AMG SL,,,AMG SL 63 4MATIC+
MERCEDES-AMG,S48WTB,AMG SL,,,AMG SL 63 S E PERFORMANCE
MERCEDES-AMG,S98VTB,MAYBACH SL,,,MAYBACH SL 680
MERCEDES-AMG,Z38ZT0,AMG GT BLACK,,,AMG GT BLACK SERIES
MERCEDES-BENZ,1301A0,CLA,UKL2,SEDAN,CLA 250+
MERCEDES-BENZ,1301Z0,CLA,UKL2,SEDAN,CLA 250+
MERCEDES-BENZ,130CA1,CLA,UKL2,SEDAN,CLA 350 4MATIC
MERCEDES-BENZ,130CZ1,CLA,UKL2,SEDAN,CLA 350 4MATIC
MERCEDES-BENZ,234ET2,CLA,UKL2,SEDAN,CLA 220
MERCEDES-BENZ,321CT1,CLA,UKL2,SEDAN,CLA 200 D 4MATIC
MERCEDES-BENZ,321CT2,CLA,UKL2,SEDAN,CLA 200 D
MERCEDES-BENZ,321ET2,CLA,UKL2,SEDAN,CLA 220 D
MERCEDES-BENZ,324HT2,CLA,UKL2,SEDAN,CLA 200
MERCEDES-BENZ,324LT1,CLA,UKL2,SEDAN,CLA 250 4MATIC
MERCEDES-BENZ,324MT2,CLA,UKL2,SEDAN,CLA 250 E
MERCEDES-BENZ,324NT1,AMG CLA,,,AMG CLA 35 4MATIC
MERCEDES-BENZ,3254T1,AMG CLA,,,AMG CLA 45 S 4MATIC+
MERCEDES-BENZ,328QT2,CLA,UKL2,SEDAN,CLA 250 E
MERCEDES-BENZ,32H7T2,CLA,UKL2,SEDAN,CLA 200
MERCEDES-BENZ,32H9T2,CLA,UKL2,SEDAN,CLA 180
MERCEDES-BENZ,331CT2,CLA,UKL2,SEDAN,CLA 200 D
MERCEDES-BENZ,331ET2,CLA,UKL2,SEDAN,CLA 220 D
MERCEDES-BENZ,334HT2,CLA,UKL2,SEDAN,CLA 200
MERCEDES-BENZ,334LT1,CLA,UKL2,SEDAN,CLA 250 4MATIC
MERCEDES-BENZ,334MT2,CLA,UKL2,SEDAN,CLA 250 E
MERCEDES-BENZ,334NT1,AMG CLA,,,AMG CLA 35 4MATIC
MERCEDES-BENZ,3354T1,AMG CLA,,,AMG CLA 45 S 4MATIC+
MERCEDES-BENZ,338QT2,CLA,UKL2,SEDAN,CLA 250 E
MERCEDES-BENZ,33H7T2,CLA,UKL2,SEDAN,CLA 200
MERCEDES-BENZ,33H9T2,CLA,UKL2,SEDAN,CLA 180
MERCEDES-BENZ,46EBA0,EQE,MKL,SEDAN,EQE 300
MERCEDES-BENZ,46EBB0,EQE,MKL,SEDAN,EQE 300
MERCEDES-BENZ,46ECA0,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,46ECB0,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,46ECBA,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,46EEB1,EQE,MKL,SEDAN,EQE 350 4MATIC
MERCEDES-BENZ,46EEBB,EQE,MKL,SEDAN,EQE 350 4MATIC
MERCEDES-BENZ,46EFA1,EQE,MKL,SEDAN,EQE 500 4MATIC
MERCEDES-BENZ,46EFB1,EQE,MKL,SEDAN,EQE 500 4MATIC
MERCEDES-BENZ,46EFBB,EQE,MKL,SEDAN,EQE 500 4MATIC
MERCEDES-BENZ,46EGA1,EQE,MKL,SEDAN,EQE 500 4MATIC
MERCEDES-BENZ,46EGB1,EQE,MKL,SEDAN,EQE 500 4MATIC
MERCEDES-BENZ,46EIA0,EQE,MKL,SEDAN,EQE 300
MERCEDES-BENZ,46EJA0,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,46EJB0,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,46EJBA,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,46EKBB,AMG EQE,,,AMG EQE 43 4MATIC
MERCEDES-BENZ,46ESBB,AMG EQE,,,AMG EQE 53 4MATIC+
MERCEDES-BENZ,46EYB1,EQE,MKL,SEDAN,EQE 350 4MATIC
MERCEDES-BENZ,51EBA0,EQE,MKL,SEDAN,EQE 300
MERCEDES-BENZ,51EBBA,EQE,MKL,SEDAN,EQE 300
MERCEDES-BENZ,51ECA0,EQE,MKL,SEDAN,EQE 350
MERCEDES-BENZ,51ECAA,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,51ECB0,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,51ECBA,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,51EIA0,EQE,MKL,SEDAN,EQE 300
MERCEDES-BENZ,51EJA0,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,51EJB0,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,51EJBA,EQE,MKL,SEDAN,EQE 350+
MERCEDES-BENZ,51ESAB,AMG EQE,,,AMG EQE 53 4MATIC+
MERCEDES-BENZ,66EGBB,EQS,GKL,SEDAN,EQS 500 4MATIC
MERCEDES-BENZ,66EWAB,EQS,GKL,SEDAN,EQS 450 4MATIC
MERCEDES-BENZ,66EWBB,EQS,GKL,SEDAN,EQS 450 4MATIC
MERCEDES-BENZ,69ETBB,MAYBACH EQS,,,MAYBACH EQS 680
MERCEDES-BENZ,71EAB0,EQS,GKL,SEDAN,EQS 450+
MERCEDES-BENZ,71ECB0,EQS,GKL,SEDAN,EQS 350
MERCEDES-BENZ,71EDB0,EQS,GKL,SEDAN,EQS 450+
MERCEDES-BENZ,71EGB1,EQS,GKL,SEDAN,EQS 500 4MATIC
MERCEDES-BENZ,71EHA1,EQS,GKL,SEDAN,EQS 580 4MATIC
MERCEDES-BENZ,71EHB1,EQS,GKL,SEDAN,EQS 580 4MATIC
MERCEDES-BENZ,71ETA1,AMG EQS,,,AMG EQS 53 4MATIC+
MERCEDES-BENZ,8304T1,GLC,KKL,SAV,GLC 220 D 4MATIC
MERCEDES-BENZ,8304TB,GLC,KKL,SAV,GLC 220 D 4MATIC
MERCEDES-BENZ,8317TB,AMG GLC,,,AMG GLC 43 4MATIC
MERCEDES-BENZ,831GT1,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,831GTB,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,831LT1,GLC,KKL,SAV,GLC 300 D 4MATIC
MERCEDES-BENZ,831LTB,GLC,KKL,SAV,GLC 300 D 4MATIC
MERCEDES-BENZ,831PT1,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,831PTB,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,8346T1,GLC,KKL,SAV,GLC 300 4MATIC
MERCEDES-BENZ,8346TB,GLC,KKL,SAV,GLC 300 4MATIC
MERCEDES-BENZ,834IT1,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,834ITB,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,835PT1,GLC,KKL,SAV,GLC 200 4MATIC
MERCEDES-BENZ,835PTB,GLC,KKL,SAV,GLC 200 4MATIC
MERCEDES-BENZ,835QT1,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,835QTB,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,837PTB,AMG GLC,,,AMG GLC 63S E PERFORMANCE
MERCEDES-BENZ,8604T1,GLC,KKL,SAV,GLC 220 D 4MATIC
MERCEDES-BENZ,8604TB,GLC,KKL,SAV,GLC 220 D 4MATIC
MERCEDES-BENZ,8617TB,AMG GLC,,,AMG GLC 43 4MATIC
MERCEDES-BENZ,861GT1,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,861GTB,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,861LT1,GLC,KKL,SAV,GLC 300 D 4MATIC
MERCEDES-BENZ,861LTB,GLC,KKL,SAV,GLC 300 D 4MATIC
MERCEDES-BENZ,861PT1,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,861PTB,GLC,KKL,SAV,GLC 300 DE 4MATIC
MERCEDES-BENZ,8646T1,GLC,KKL,SAV,GLC 300 4MATIC
MERCEDES-BENZ,8646TB,GLC,KKL,SAV,GLC 300 4MATIC
MERCEDES-BENZ,864IT1,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,864ITB,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,865PT1,GLC,KKL,SAV,GLC 200 4MATIC
MERCEDES-BENZ,865PTB,GLC,KKL,SAV,GLC 200 4MATIC
MERCEDES-BENZ,865QT1,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,865QTB,GLC,KKL,SAV,GLC 300 E 4MATIC
MERCEDES-BENZ,867PTB,AMG GLC,,,AMG GLC 63S E PERFORMANCE
MERCEDES-BENZ,B21GT1,GLE,MKL,SAV,GLE 350 DE 4MATIC
MERCEDES-BENZ,B21JT1,GLE,MKL,SAV,GLE 350 DE 4MATIC
MERCEDES-BENZ,B21LT1,GLE,MKL,SAV,GLE 300 D 4MATIC
MERCEDES-BENZ,B21PT1,GLE,MKL,SAV,GLE 350 DE 4MATIC
MERCEDES-BENZ,B223T1,GLE,MKL,SAV,GLE 400 D 4MATIC
MERCEDES-BENZ,B224T1,GLE,MKL,SAV,GLE 450 D 4MATIC
MERCEDES-BENZ,B24ZT1,GLE,MKL,SAV,GLE 400 E 4MATIC
MERCEDES-BENZ,B25RT1,GLE,MKL,SAV,GLE 400 E 4MATIC
MERCEDES-BENZ,B26ST1,GLE,MKL,SAV,GLE 450 4MATIC
MERCEDES-BENZ,B26UT1,AMG GLE,,,AMG GLE 53 4MATIC+
MERCEDES-BENZ,B26VT1,AMG GLE,,,AMG GLE 53 HYBRID
MERCEDES-BENZ,B26YT1,AMG GLE,,,AMG GLE 53 HYBRID
MERCEDES-BENZ,B28PT1,AMG GLE,,,AMG GLE 63 S 4MATIC+
MERCEDES-BENZ,B31GT1,GLE,MKL,SAV,GLE 350 DE 4MATIC COUPE
MERCEDES-BENZ,B31LT1,GLE,MKL,SAV,GLE 300 D 4MATIC COUPE
MERCEDES-BENZ,B31PT1,GLE,MKL,SAV,GLE 350 DE 4MATIC COUPE
MERCEDES-BENZ,B324T1,GLE,MKL,SAV,GLE 450 D 4MATIC COUPE
MERCEDES-BENZ,B34ZT1,GLE,MKL,SAV,GLE 400 E 4MATIC COUPE
MERCEDES-BENZ,B35RT1,GLE,MKL,SAV,GLE 400 E 4MATIC COUPE
MERCEDES-BENZ,B36UT1,AMG GLE,,,AMG GLE 53 4MATIC+ COUPE
MERCEDES-BENZ,B36VT1,AMG GLE,,,AMG GLE 53 HYBRID COUPE
MERCEDES-BENZ,B36YT1,AMG GLE,,,AMG GLE 53 HYBRID COUPE
MERCEDES-BENZ,B38PT1,AMG GLE,,,AMG GLE 63 S 4MATIC+COUPE
MERCEDES-BENZ,B722T1,GLS,GKL,SAV,GLS 350 D 4MATIC
MERCEDES-BENZ,B724T1,GLS,GKL,SAV,GLS 450 D 4MATIC
MERCEDES-BENZ,B76ST1,GLS,GKL,SAV,GLS 450 4MATIC
MERCEDES-BENZ,B782T1,GLS,GKL,SAV,GLS 580 4MATIC
MERCEDES-BENZ,B78PT1,AMG GLS,,,AMG GLS 63 4MATIC+
MERCEDES-BENZ,BM8MT1,MAYBACH GLS,,,MAYBACH GLS 600
MERCEDES-BENZ,C724T1,G,,,G 450 D
MERCEDES-BENZ,C76TT1,G,,,G 500
MERCEDES-BENZ,C78ZT1,AMG G,,,AMG G 63
MERCEDES-BENZ,CNEZZ1,G,,,G 580
MERCEDES-BENZ,H004T0,C,,,C 220 D
MERCEDES-BENZ,H004T1,C,,,C 220 D 4MATIC
MERCEDES-BENZ,H004TA,C,,,C 220 D
MERCEDES-BENZ,H004TB,C,,,C 220 D 4MATIC
MERCEDES-BENZ,H005T0,C,,,C 300 DE
MERCEDES-BENZ,H005T1,C,,,C 300 DE 4MATIC
MERCEDES-BENZ,H00AT0,C,,,C 200 D
MERCEDES-BENZ,H00ATA,C,,,C 200 D
MERCEDES-BENZ,H017TB,AMG C,,,AMG C 43 4MATIC
MERCEDES-BENZ,H01LT0,C,,,C 300 D
MERCEDES-BENZ,H041T0,C,,,C 180
MERCEDES-BENZ,H042T0,C,,,C 200
MERCEDES-BENZ,H042TA,C,,,C 200
MERCEDES-BENZ,H046T0,C,,,C 300
MERCEDES-BENZ,H046TA,C,,,C 300
MERCEDES-BENZ,H05DT0,C,,,C 300 E
MERCEDES-BENZ,H07PTB,AMG C,,,AMG C 63 S E PERFORMANCE
MERCEDES-BENZ,H087TB,AMG C,,,AMG C 43 4MATIC+
MERCEDES-BENZ,H204T0,C,,,C 220 D
MERCEDES-BENZ,H204T1,C,,,C 220D 4MATIC ALL-TERRAIN
MERCEDES-BENZ,H205T0,C,,,C 300 DE
MERCEDES-BENZ,H205T1,C,,,C 300 DE 4MATIC
MERCEDES-BENZ,H20AT0,C,,,C 200 D
MERCEDES-BENZ,H20ATA,C,,,C 200 D
MERCEDES-BENZ,H217TB,AMG C,,,AMG C 43 4MATIC
MERCEDES-BENZ,H21LT0,C,,,C 300 D
MERCEDES-BENZ,H242T0,C,,,C 200
MERCEDES-BENZ,H246T0,C,,,C 300
MERCEDES-BENZ,H246TA,C,,,C 300
MERCEDES-BENZ,H25DT0,C,,,C 300 E
MERCEDES-BENZ,H27PTB,AMG C,,,AMG C 63 S E PERFORMANCE
MERCEDES-BENZ,H287TB,AMG C,,,AMG C 43 4MATIC+
MERCEDES-BENZ,I021T0,S,,,S 350 D
MERCEDES-BENZ,I022T0,S,,,S 350 D
MERCEDES-BENZ,I022T1,S,,,S 350 D 4MATIC
MERCEDES-BENZ,I022TA,S,,,S 350 D
MERCEDES-BENZ,I022TB,S,,,S 350 D 4MATIC
MERCEDES-BENZ,I024T1,S,,,S 450 D 4MATIC
MERCEDES-BENZ,I024TB,S,,,S 450 D 4MATIC
MERCEDES-BENZ,I06PT0,S,,,S 580 E
MERCEDES-BENZ,I06RT0,S,,,S 450 E
MERCEDES-BENZ,I06RTA,S,,,S 450 E
MERCEDES-BENZ,I06TT1,S,,,S 500 4MATIC
MERCEDES-BENZ,I06TTB,S,,,S 500 4MATIC
MERCEDES-BENZ,I08RT1,S,,,S 580 4MATIC
MERCEDES-BENZ,I08RTB,S,,,S 580 4MATIC
MERCEDES-BENZ,I122T0,S,,,S 350 D
MERCEDES-BENZ,I122T1,S,,,S 350 D 4MATIC
MERCEDES-BENZ,I122TA,S,,,S 350 D
MERCEDES-BENZ,I122TB,S,,,S 350 D 4MATIC
MERCEDES-BENZ,I124T1,S,,,S 450 D 4MATIC
MERCEDES-BENZ,I124TB,S,,,S 450 D 4MATIC
MERCEDES-BENZ,I16RT0,S,,,S 450 E
MERCEDES-BENZ,I16RTA,S,,,S 450 E
MERCEDES-BENZ,I16TT1,S,,,S 500 4MATIC
MERCEDES-BENZ,I16TTB,S,,,S 500 4MATIC
MERCEDES-BENZ,I18RT1,S,,,S 580 4MATIC
MERCEDES-BENZ,I18RTB,S,,,S 580 4MATIC
MERCEDES-BENZ,I96PT1,S,,,S 580 E MAYBACH
MERCEDES-BENZ,I97NTB,S,,,S 680 MAYBACH
